ticker,company,country,industry
249,Emak SpA,Italy,HotelsRestaurantsConsumerServices
250,Gefran SpA,Italy,TechnologyHardwareEquipment
251,I Grandi Viaggi SpA,Italy,HotelsRestaurantsConsumerServices
252,Monrif SpA,Italy,MediaEntertainment
253,Mondo TV SpA,Italy,MediaEntertainment
254,Rosss SpA,Italy,CommercialProfessionalServices
255,Greenthesis SpA,Italy,CommercialProfessionalServices
256,AlgoWatt SpA,Italy,TechnologyHardwareEquipment
257,Valsoia SpA,Italy,FoodBeverageTobacco
258,Vincenzo Zucchi SpA,Italy,HotelsRestaurantsConsumerServices
259,Brenntag SE,Germany,CapitalGoods
260,Currys PLC,UK,HotelsRestaurantsConsumerServices
261,Superdry PLC,UK,HotelsRestaurantsConsumerServices
262,Stroeer SE & Co KGaA,Germany,MediaEntertainment
263,Tesmec SpA,Italy,CapitalGoods
264,Berentzen-Gruppe AG,Germany,FoodBeverageTobacco
265,bet-at-home.com AG,Germany,HotelsRestaurantsConsumerServices
266,Edel SE & Co KGaA,Germany,MediaEntertainment
267,MBB SE,Germany,CapitalGoods
268,Bollore SE,France,MediaEntertainment
269,Surteco Group SE,Germany,HotelsRestaurantsConsumerServices
270,SLEEPZ AG,Germany,HotelsRestaurantsConsumerServices
271,CHAPTERS Group AG,Germany,HealthCareEquipmentServices
272,AST Groupe SA,France,HotelsRestaurantsConsumerServices
273,Laboratoires Euromedis,France,HealthCareEquipmentServices
274,Bigben Interactive,France,HotelsRestaurantsConsumerServices
275,Encavis AG,Germany,Utilities
276,NorCom Information Technology GmbH & Co KGaA,Germany,SoftwareServices
277,Advanced Medical Solutions Group PLC,UK,HealthCareEquipmentServices
278,Groupe Guillin,France,Materials
279,OHB SE,Germany,CapitalGoods
280,All for One Group SE,Germany,SoftwareServices
281,Young & Co's Brewery PLC,UK,HotelsRestaurantsConsumerServices
282,Nabaltec AG,Germany,Materials
283,1000mercis,France,MediaEntertainment
284,EuropaCorp,France,MediaEntertainment
285,Logic Instrument,France,TechnologyHardwareEquipment
286,Viscom AG,Germany,TechnologyHardwareEquipment
287,MGI Digital Graphic Technology,France,TechnologyHardwareEquipment
288,Mastrad SA,France,HotelsRestaurantsConsumerServices
289,Mobotix AG,Germany,TechnologyHardwareEquipment
290,Artefact SA,France,CommercialProfessionalServices
291,Orege SA,France,CommercialProfessionalServices
292,VITA 34 AG,Germany,HealthCareEquipmentServices
293,Mediclin AG,Germany,HealthCareEquipmentServices
294,Leifheit AG,Germany,HotelsRestaurantsConsumerServices
295,Maschinenfabrik Berthold Hermle AG,Germany,CapitalGoods
